source,attribute_set,included_fields,excluded_leakage_fields,records_with_text,records,coverage_percent,mean_text_chars,median_text_chars,empty_predictor_text_records,missing_fields_replaced_with_empty_strings
bio.tools,abstract_only,paper_abstract,labels;tasks;methods;secondary_labels,13062,14150,92.31095406360424,1435.804011636809,1392.5,1088,True
bio.tools,title_only,paper_title,labels;tasks;methods;secondary_labels,14074,14150,99.46289752650176,97.88958362938752,89.0,76,True
bio.tools,publication_text,paper_title;paper_abstract,labels;tasks;methods;secondary_labels,14074,14150,99.46289752650176,1431.3792809435838,1446.0,76,True
bio.tools,repository_description,repository_description;software_description,labels;tasks;methods;secondary_labels,14150,14150,100.0,240.6677738515901,159.0,0,True
bio.tools,readme_only,readme_content,labels;tasks;methods;secondary_labels,13488,14150,95.32155477031802,6367.503855278766,3893.0,662,True
bio.tools,repository_text,repository_title;repository_description;readme_content,labels;tasks;methods;secondary_labels,14150,14150,100.0,6079.352438162544,3677.0,0,True
bio.tools,somef_description_only,somef_description,labels;tasks;methods;secondary_labels,12268,14150,86.69964664310955,791.4563090968373,459.0,1882,True
bio.tools,repository_title_keywords,repository_title;repository_keywords,labels;tasks;methods;secondary_labels,14150,14150,100.0,8.795547703180212,8.0,0,True
bio.tools,abstract_readme_description,paper_abstract;readme_content;software_description;repository_description,labels;tasks;methods;secondary_labels,14150,14150,100.0,7637.552155477032,5235.5,0,True
bio.tools,abstract_repository_title_keywords,paper_abstract;repository_title;repository_keywords,labels;tasks;methods;secondary_labels,14150,14150,100.0,1335.123038869258,1357.5,0,True
bio.tools,all_publication_metadata,paper_title;paper_abstract;publication_url,labels;tasks;methods;secondary_labels,14150,14150,100.0,1465.5889045936397,1485.0,0,True
bio.tools,all_repository_metadata,repository_title;repository_description;repository_keywords;readme_content;somef_description,labels;tasks;methods;secondary_labels,14150,14150,100.0,6766.40925795053,4276.0,0,True
bio.tools,all_non_target_textual_metadata,paper_title;paper_abstract;software_name;software_description;repository_title;repository_description;repository_keywords;readme_content;somef_description,labels;tasks;methods;secondary_labels,14150,14150,100.0,8442.440282685513,5978.0,0,True
papers_with_code,abstract_only,paper_abstract,labels;tasks;methods;secondary_labels,42665,42669,99.99062551266728,1296.9258877299894,1296.0,4,True
papers_with_code,title_only,paper_title,labels;tasks;methods;secondary_labels,42669,42669,100.0,76.41592256673464,75.0,0,True
papers_with_code,publication_text,paper_title;paper_abstract,labels;tasks;methods;secondary_labels,42669,42669,100.0,1374.2201363987906,1372.0,0,True
papers_with_code,repository_description,repository_description;software_description,labels;tasks;methods;secondary_labels,0,42669,0.0,0.0,0.0,42669,True
papers_with_code,readme_only,readme_content,labels;tasks;methods;secondary_labels,41405,42669,97.03766200285922,5570.794493418669,3630.0,1264,True
papers_with_code,repository_text,repository_title;repository_description;readme_content,labels;tasks;methods;secondary_labels,42669,42669,100.0,5419.517354519675,3522.0,0,True
papers_with_code,somef_description_only,somef_description,labels;tasks;methods;secondary_labels,36032,42669,84.44538189317771,617.7588809946714,314.0,6637,True
papers_with_code,repository_title_keywords,repository_title;repository_keywords,labels;tasks;methods;secondary_labels,42669,42669,100.0,12.778246502144414,9.0,0,True
papers_with_code,abstract_readme_description,paper_abstract;readme_content;software_description;repository_description,labels;tasks;methods;secondary_labels,42669,42669,100.0,6703.543321849586,4816.0,0,True
papers_with_code,abstract_repository_title_keywords,paper_abstract;repository_title;repository_keywords,labels;tasks;methods;secondary_labels,42669,42669,100.0,1310.5824603342005,1308.0,0,True
papers_with_code,all_publication_metadata,paper_title;paper_abstract;publication_url,labels;tasks;methods;secondary_labels,42669,42669,100.0,1411.1537884646934,1410.0,0,True
papers_with_code,all_repository_metadata,repository_title;repository_description;repository_keywords;readme_content;somef_description,labels;tasks;methods;secondary_labels,42669,42669,100.0,5942.030654573578,4000.0,0,True
papers_with_code,all_non_target_textual_metadata,paper_title;paper_abstract;software_name;software_description;repository_title;repository_description;repository_keywords;readme_content;somef_description,labels;tasks;methods;secondary_labels,42669,42669,100.0,7317.250790972369,5377.0,0,True
