stage,source,input_records,output_records,added_by_expansion,removed_records,removal_reason
source_to_observation_expansion,papers_with_code,573165,573165,0,0,not_applicable
labelled_record_filter,papers_with_code,573165,452486,0,120679,missing_all_target_labels
github_backed_canonical_filter,papers_with_code,452486,146034,0,306452,missing_github_repository
level1_high_level_view_filter,papers_with_code,146034,42692,0,103342,missing_target_labels_for_level
level2_fine_grained_view_filter,papers_with_code,146034,141442,0,4592,missing_target_labels_for_level
source_to_observation_expansion,bio.tools,33084,36417,3333,0,not_applicable
labelled_record_filter,bio.tools,36417,36417,0,0,none
github_backed_canonical_filter,bio.tools,36417,15294,0,21123,missing_github_repository
level1_high_level_view_filter,bio.tools,15294,14935,0,359,missing_target_labels_for_level
level2_fine_grained_view_filter,bio.tools,15294,15294,0,0,none
