pwc_task_label,pwc_area_label,record_count,task_total_records,area_total_records
Language Modelling,General,5602,17424,114234
Contrastive Learning,Graphs,5003,6618,12318
Language Modeling,General,4509,14015,114234
Semantic Segmentation,General,4245,14729,114234
Language Modelling,Natural Language Processing,3962,17424,40996
Semantic Segmentation,Computer Vision,3854,14729,54472
Image Classification,General,3555,10391,114234
Image Generation,Computer Vision,3447,6664,54472
Retrieval,General,3402,14207,114234
Segmentation,General,3374,13036,114234
Knowledge Distillation,General,3341,4217,114234
Decoder,General,3217,10294,114234
Denoising,Computer Vision,3194,7256,54472
Object Detection,General,3180,10925,114234
Segmentation,Computer Vision,3173,13036,54472
Language Modeling,Natural Language Processing,3121,14015,40996
regression,General,3067,9395,114234
image-classification,General,3004,9178,114234
object-detection,General,2971,10484,114234
Classification,General,2951,12759,114234
Transfer Learning,General,2903,10231,114234
Object Detection,Computer Vision,2783,10925,54472
Graph Neural Network,Graphs,2746,3585,12318
Question Answering,General,2658,10686,114234
object-detection,Computer Vision,2579,10484,54472
General Classification,General,2566,14551,114234
Reinforcement Learning (RL),General,2417,15057,114234
Sentence,General,2360,10587,114234
Image Classification,Computer Vision,2354,10391,54472
Representation Learning,General,2314,10527,114234
Retrieval,Natural Language Processing,2289,14207,40996
Data Augmentation,General,2210,8321,114234
Translation,General,2199,12219,114234
Object,General,2166,10670,114234
Decision Making,General,2120,12282,114234
reinforcement-learning,General,2081,13386,114234
Time Series,General,2021,9146,114234
Clustering,General,2019,10681,114234
Reinforcement Learning,General,1989,13136,114234
Object,Computer Vision,1981,10670,54472
Question Answering,Natural Language Processing,1978,10686,40996
image-classification,Computer Vision,1932,9178,54472
Large Language Model,General,1920,6093,114234
Decoder,Computer Vision,1910,10294,54472
Prediction,General,1905,8724,114234
Deep Learning,General,1889,9401,114234
Reinforcement Learning (RL),Reinforcement Learning,1856,15057,6988
feature selection,General,1828,2968,114234
Image Generation,General,1785,6664,114234
Diversity,General,1774,9013,114234
Contrastive Learning,General,1741,6618,114234
GPU,General,1733,5609,114234
Machine Translation,General,1702,10592,114234
Sentence,Natural Language Processing,1645,10587,40996
Decoder,Natural Language Processing,1604,10294,40996
reinforcement-learning,Reinforcement Learning,1602,13386,6988
Denoising,General,1601,7256,114234
Data Augmentation,Computer Vision,1578,8321,54472
Reinforcement Learning,Reinforcement Learning,1545,13136,6988
RAG,General,1531,2109,114234
Quantization,General,1494,4915,114234
Representation Learning,Graphs,1490,10527,12318
Image Segmentation,General,1486,5028,114234
Computational Efficiency,General,1455,4882,114234
Self-Supervised Learning,General,1455,5029,114234
RAG,Natural Language Processing,1428,2109,40996
Image Segmentation,Computer Vision,1404,5028,54472
Management,General,1394,8119,114234
Retrieval-augmented Generation,General,1388,2194,114234
Language Modelling,Computer Vision,1386,17424,54472
Representation Learning,Computer Vision,1376,10527,54472
Q-Learning,Reinforcement Learning,1371,1912,6988
Autonomous Driving,General,1368,6080,114234
Federated Learning,General,1363,6756,114234
Classification,Computer Vision,1362,12759,54472
Large Language Model,Natural Language Processing,1358,6093,40996
Transfer Learning,Computer Vision,1344,10231,54472
General Classification,Computer Vision,1332,14551,54472
Speech Recognition,General,1327,6397,114234
Text Generation,General,1310,5259,114234
BIG-bench Machine Learning,General,1293,10008,114234
speech-recognition,General,1285,5685,114234
Retrieval-augmented Generation,Natural Language Processing,1269,2194,40996
Time Series Analysis,General,1257,6730,114234
Translation,Natural Language Processing,1256,12219,40996
Benchmarking,General,1243,5525,114234
Sentiment Analysis,General,1235,5588,114234
Deep Reinforcement Learning,General,1232,5808,114234
Diversity,Computer Vision,1162,9013,54472
Semantic Segmentation,Natural Language Processing,1159,14729,40996
Domain Adaptation,General,1158,6401,114234
Retrieval,Computer Vision,1155,14207,54472
Variational Inference,General,1131,2264,114234
model,General,1126,5411,114234
Machine Translation,Natural Language Processing,1120,10592,40996
Diagnostic,General,1112,4504,114234
Attribute,General,1077,5364,114234
Text Classification,General,1060,3582,114234
Contrastive Learning,Computer Vision,1053,6618,54472
Language Modeling,Computer Vision,1038,14015,54472
Reinforcement Learning (RL),Computer Vision,1035,15057,54472
Deep Learning,Computer Vision,1019,9401,54472
Super-Resolution,Computer Vision,1003,3867,54472
Anomaly Detection,General,998,4850,114234
Recommendation Systems,General,998,6037,114234
Text Generation,Natural Language Processing,987,5259,40996
Transfer Learning,Natural Language Processing,981,10231,40996
Representation Learning,Natural Language Processing,976,10527,40996
text-classification,General,948,3005,114234
Object Detection,Natural Language Processing,937,10925,40996
GPU,Computer Vision,929,5609,54472
reinforcement-learning,Computer Vision,929,13386,54472
