source,count_type,count,count_subtype
papers_with_code,source_records,573165,
papers_with_code,expanded_observations,573165,
papers_with_code,labelled_records,452486,
papers_with_code,github_backed_observations,167690,
papers_with_code,retained_master_records,146034,
papers_with_code,level1_records,42692,
papers_with_code,level2_records,141442,
papers_with_code,unique_normalized_repositories_observed,150017,
papers_with_code,unique_dois_observed,2269,
papers_with_code,unique_normalized_names_observed,139571,
papers_with_code,source_records_by_repository_count,405475,0
papers_with_code,source_records_by_repository_count,142583,1
papers_with_code,source_records_by_repository_count,15996,2
papers_with_code,source_records_by_repository_count,4053,3
papers_with_code,source_records_by_repository_count,1742,4
papers_with_code,source_records_by_repository_count,866,5
papers_with_code,source_records_by_repository_count,519,6
papers_with_code,source_records_by_repository_count,351,7
papers_with_code,source_records_by_repository_count,248,8
papers_with_code,source_records_by_repository_count,200,9
papers_with_code,source_records_by_repository_count,140,10
papers_with_code,source_records_by_repository_count,112,11
papers_with_code,source_records_by_repository_count,92,12
papers_with_code,source_records_by_repository_count,78,13
papers_with_code,source_records_by_repository_count,60,14
papers_with_code,source_records_by_repository_count,39,15
papers_with_code,source_records_by_repository_count,49,16
papers_with_code,source_records_by_repository_count,36,17
papers_with_code,source_records_by_repository_count,50,18
papers_with_code,source_records_by_repository_count,34,19
papers_with_code,source_records_by_repository_count,33,20
papers_with_code,source_records_by_repository_count,28,21
papers_with_code,source_records_by_repository_count,22,22
papers_with_code,source_records_by_repository_count,18,23
papers_with_code,source_records_by_repository_count,24,24
papers_with_code,source_records_by_repository_count,20,25
papers_with_code,source_records_by_repository_count,19,26
papers_with_code,source_records_by_repository_count,8,27
papers_with_code,source_records_by_repository_count,17,28
papers_with_code,source_records_by_repository_count,9,29
papers_with_code,source_records_by_repository_count,14,30
papers_with_code,source_records_by_repository_count,10,31
papers_with_code,source_records_by_repository_count,4,32
papers_with_code,source_records_by_repository_count,4,33
papers_with_code,source_records_by_repository_count,7,34
papers_with_code,source_records_by_repository_count,10,35
papers_with_code,source_records_by_repository_count,7,36
papers_with_code,source_records_by_repository_count,11,37
papers_with_code,source_records_by_repository_count,3,38
papers_with_code,source_records_by_repository_count,8,39
papers_with_code,source_records_by_repository_count,4,40
papers_with_code,source_records_by_repository_count,4,41
papers_with_code,source_records_by_repository_count,3,42
papers_with_code,source_records_by_repository_count,3,43
papers_with_code,source_records_by_repository_count,6,44
papers_with_code,source_records_by_repository_count,4,45
papers_with_code,source_records_by_repository_count,8,46
papers_with_code,source_records_by_repository_count,4,47
papers_with_code,source_records_by_repository_count,3,48
papers_with_code,source_records_by_repository_count,2,49
papers_with_code,source_records_by_repository_count,2,50
papers_with_code,source_records_by_repository_count,3,51
papers_with_code,source_records_by_repository_count,2,52
papers_with_code,source_records_by_repository_count,4,53
papers_with_code,source_records_by_repository_count,1,54
papers_with_code,source_records_by_repository_count,1,55
papers_with_code,source_records_by_repository_count,3,56
papers_with_code,source_records_by_repository_count,4,57
papers_with_code,source_records_by_repository_count,1,58
papers_with_code,source_records_by_repository_count,3,59
papers_with_code,source_records_by_repository_count,3,60
papers_with_code,source_records_by_repository_count,1,61
papers_with_code,source_records_by_repository_count,4,62
papers_with_code,source_records_by_repository_count,3,64
papers_with_code,source_records_by_repository_count,2,65
papers_with_code,source_records_by_repository_count,3,66
papers_with_code,source_records_by_repository_count,3,67
papers_with_code,source_records_by_repository_count,1,68
papers_with_code,source_records_by_repository_count,1,69
papers_with_code,source_records_by_repository_count,1,70
papers_with_code,source_records_by_repository_count,3,71
papers_with_code,source_records_by_repository_count,2,73
papers_with_code,source_records_by_repository_count,5,74
papers_with_code,source_records_by_repository_count,3,75
papers_with_code,source_records_by_repository_count,1,76
papers_with_code,source_records_by_repository_count,2,77
papers_with_code,source_records_by_repository_count,1,79
papers_with_code,source_records_by_repository_count,2,80
papers_with_code,source_records_by_repository_count,1,81
papers_with_code,source_records_by_repository_count,2,82
